poiId:8643068, uid:2434205, operation:WRITE
poiId:7066232, uid:2434205, operation:WRITE
poiId:7013657, uid:2434205, operation:WRITE
poiId:6835219, uid:2434205, operation:WRITE
poiId:6825906, uid:2434205, operation:WRITE
poiId:6783574, uid:2434205, operation:WRITE
poiId:6782645, uid:2434205, operation:WRITE
poiId:6583292, uid:2434205, operation:WRITE
poiId:6556201, uid:2434205, operation:WRITE
poiId:6497231, uid:2434205, operation:WRITE
poiId:6458534, uid:2434205, operation:WRITE
poiId:6456571, uid:2434205, operation:WRITE
poiId:6420743, uid:2434205, operation:WRITE
poiId:6420325, uid:2434205, operation:WRITE
poiId:6232098, uid:2434205, operation:WRITE
poiId:6077896, uid:2434205, operation:WRITE
poiId:5946909, uid:2434205, operation:WRITE
poiId:5935493, uid:2434205, operation:WRITE
poiId:5797929, uid:2434205, operation:WRITE
poiId:5548536, uid:2434205, operation:WRITE
poiId:5479075, uid:2434205, operation:WRITE
poiId:5430028, uid:2434205, operation:WRITE
poiId:5176795, uid:2434205, operation:WRITE
poiId:4976602, uid:2434205, operation:WRITE
poiId:4956786, uid:2434205, operation:WRITE
poiId:4857543, uid:2434205, operation:WRITE
poiId:4776595, uid:2434205, operation:WRITE
poiId:4679076, uid:2434205, operation:WRITE
poiId:4555041, uid:2434205, operation:WRITE
poiId:4418989, uid:2434205, operation:WRITE
poiId:4351366, uid:2434205, operation:WRITE
poiId:4316458, uid:2434205, operation:WRITE
poiId:3922107, uid:2434205, operation:WRITE
poiId:3826865, uid:2434205, operation:WRITE
poiId:3773885, uid:2434205, operation:WRITE
poiId:3673347, uid:2434205, operation:WRITE
poiId:3661343, uid:2434205, operation:WRITE
poiId:3235629, uid:2434205, operation:WRITE
poiId:3232582, uid:2434205, operation:WRITE
poiId:3232582, uid:2434205, operation:WRITE
poiId:3174226, uid:2434205, operation:WRITE
poiId:3122333, uid:2434205, operation:WRITE
poiId:2887625, uid:2434205, operation:WRITE
poiId:2764300, uid:2434205, operation:WRITE
poiId:2689427, uid:2434205, operation:WRITE
poiId:2689142, uid:2434205, operation:WRITE
poiId:2400710, uid:2434205, operation:WRITE
poiId:2375498, uid:2434205, operation:WRITE
poiId:2288021, uid:2434205, operation:WRITE
poiId:2101573, uid:2434205, operation:WRITE
poiId:2002307, uid:2434205, operation:WRITE
poiId:1997900, uid:2434205, operation:WRITE
poiId:1922291, uid:2434205, operation:WRITE
poiId:1922291, uid:2434205, operation:WRITE
poiId:1891461, uid:2434205, operation:WRITE
poiId:1862654, uid:2434205, operation:WRITE
poiId:1732595, uid:2434205, operation:WRITE
poiId:1482698, uid:2434205, operation:WRITE
poiId:1388183, uid:2434205, operation:WRITE
poiId:1370487, uid:2434205, operation:WRITE
poiId:1363661, uid:2434205, operation:WRITE
poiId:1358997, uid:2434205, operation:WRITE
poiId:1266576, uid:2434205, operation:WRITE
poiId:1233348, uid:2434205, operation:WRITE
poiId:1228926, uid:2434205, operation:WRITE
poiId:1179029, uid:2434205, operation:WRITE
poiId:1165002, uid:2434205, operation:WRITE
poiId:1140896, uid:2434205, operation:WRITE
poiId:1125085, uid:2434205, operation:WRITE
poiId:1102907, uid:2434205, operation:WRITE
poiId:1072953, uid:2434205, operation:WRITE
poiId:1072953, uid:2434205, operation:WRITE
poiId:1044775, uid:2434205, operation:WRITE
poiId:1020766, uid:2434205, operation:WRITE 
poiId:959937, uid:2434205, operation:WRITE
poiId:6556201, uid:2434205, operation:WRITE
poiId:6556201, uid:2434205, operation:WRITE
poiId:6556201, uid:2434205, operation:WRITE
poiId:7652439, uid:2434205, operation:WRITE
poiId:8628119, uid:2434205, operation:WRITE
poiId:8602782, uid:2434205, operation:WRITE
poiId:8602782, uid:2434205, operation:WRITE
poiId:8593095, uid:2434205, operation:WRITE
poiId:8535604, uid:2434205, operation:WRITE
poiId:8518026, uid:2434205, operation:WRITE
poiId:8502884, uid:2434205, operation:WRITE
poiId:8498587, uid:2434205, operation:WRITE
poiId:8498587, uid:2434205, operation:WRITE
poiId:8458408, uid:2434205, operation:WRITE
poiId:8418609, uid:2434205, operation:WRITE
poiId:8417463, uid:2434205, operation:WRITE
poiId:8399784, uid:2434205, operation:WRITE
poiId:8361848, uid:2434205, operation:WRITE
poiId:8358441, uid:2434205, operation:WRITE
poiId:8351909, uid:2434205, operation:WRITE
poiId:8344685, uid:2434205, operation:WRITE
poiId:8330090, uid:2434205, operation:WRITE
poiId:8305085, uid:2434205, operation:WRITE
poiId:8277999, uid:2434205, operation:WRITE
poiId:8266219, uid:2434205, operation:WRITE
poiId:8238308, uid:2434205, operation:WRITE
poiId:8192622, uid:2434205, operation:WRITE
poiId:8171957, uid:2434205, operation:WRITE
poiId:8165395, uid:2434205, operation:WRITE
poiId:8165395, uid:2434205, operation:WRITE
poiId:8163703, uid:2434205, operation:WRITE
poiId:8148900, uid:2434205, operation:WRITE
poiId:8119598, uid:2434205, operation:WRITE
poiId:8101721, uid:2434205, operation:WRITE
poiId:8082993, uid:2434205, operation:WRITE
poiId:8063928, uid:2434205, operation:WRITE
poiId:8063465, uid:2434205, operation:WRITE
poiId:8056261, uid:2434205, operation:WRITE
poiId:8017181, uid:2434205, operation:WRITE
poiId:7984724, uid:2434205, operation:WRITE
poiId:7973714, uid:2434205, operation:WRITE
poiId:7916874, uid:2434205, operation:WRITE
poiId:7916502, uid:2434205, operation:WRITE
poiId:7911363, uid:2434205, operation:WRITE
poiId:7909162, uid:2434205, operation:WRITE
poiId:7839329, uid:2434205, operation:WRITE
poiId:7824573, uid:2434205, operation:WRITE
poiId:7795166, uid:2434205, operation:WRITE
poiId:7768339, uid:2434205, operation:WRITE
poiId:7766453, uid:2434205, operation:WRITE
poiId:7739230, uid:2434205, operation:WRITE
poiId:7597626, uid:2434205, operation:WRITE
poiId:7486806, uid:2434205, operation:WRITE
poiId:7462952, uid:2434205, operation:WRITE
poiId:7425311, uid:2434205, operation:WRITE
poiId:7404741, uid:2434205, operation:WRITE
poiId:7368267, uid:2434205, operation:WRITE
poiId:7337583, uid:2434205, operation:WRITE
poiId:7319799, uid:2434205, operation:WRITE
poiId:7318634, uid:2434205, operation:WRITE
poiId:7309921, uid:2434205, operation:WRITE
poiId:7301941, uid:2434205, operation:WRITE
poiId:7271284, uid:2434205, operation:WRITE
poiId:7271284, uid:2434205, operation:WRITE
poiId:7180425, uid:2434205, operation:WRITE
poiId:7168825, uid:2434205, operation:WRITE
poiId:7144700, uid:2434205, operation:WRITE
poiId:7135778, uid:2434205, operation:WRITE
poiId:7128741, uid:2434205, operation:WRITE
poiId:7128741, uid:2434205, operation:WRITE
poiId:7121581, uid:2434205, operation:WRITE
poiId:6869995, uid:2434205, operation:WRITE
poiId:6790168, uid:2434205, operation:WRITE
poiId:6783574, uid:2434205, operation:WRITE
poiId:6529055, uid:2434205, operation:WRITE
poiId:6471149, uid:2434205, operation:WRITE
poiId:6466800, uid:2434205, operation:WRITE
poiId:6464819, uid:2434205, operation:WRITE
poiId:6458534, uid:2434205, operation:WRITE
poiId:6454832, uid:2434205, operation:WRITE
poiId:6420325, uid:2434205, operation:WRITE
poiId:6398195, uid:2434205, operation:WRITE
poiId:6368153, uid:2434205, operation:WRITE
poiId:6235429, uid:2434205, operation:WRITE
poiId:6180998, uid:2434205, operation:WRITE
poiId:6154020, uid:2434205, operation:WRITE
poiId:6082551, uid:2434205, operation:WRITE
poiId:6002580, uid:2434205, operation:WRITE
poiId:5946424, uid:2434205, operation:WRITE
poiId:5891175, uid:2434205, operation:WRITE
poiId:5877444, uid:2434205, operation:WRITE
poiId:5691906, uid:2434205, operation:WRITE
poiId:5585689, uid:2434205, operation:WRITE
poiId:5177552, uid:2434205, operation:WRITE
poiId:5176795, uid:2434205, operation:WRITE
poiId:5127477, uid:2434205, operation:WRITE
poiId:5116543, uid:2434205, operation:WRITE
poiId:4972385, uid:2434205, operation:WRITE
poiId:4963000, uid:2434205, operation:WRITE
poiId:4861245, uid:2434205, operation:WRITE
poiId:4837970, uid:2434205, operation:WRITE
poiId:4828151, uid:2434205, operation:WRITE
poiId:4672673, uid:2434205, operation:WRITE
poiId:4599460, uid:2434205, operation:WRITE
poiId:4488880, uid:2434205, operation:WRITE
poiId:4281452, uid:2434205, operation:WRITE
poiId:4274876, uid:2434205, operation:WRITE
poiId:4238924, uid:2434205, operation:WRITE
poiId:3587908, uid:2434205, operation:WRITE
poiId:3431840, uid:2434205, operation:WRITE
poiId:3392292, uid:2434205, operation:WRITE
poiId:3346723, uid:2434205, operation:WRITE
poiId:3232322, uid:2434205, operation:WRITE
poiId:3228999, uid:2434205, operation:WRITE
poiId:3173066, uid:2434205, operation:WRITE
poiId:3149309, uid:2434205, operation:WRITE
poiId:3115625, uid:2434205, operation:WRITE
poiId:3111130, uid:2434205, operation:WRITE
poiId:3054490, uid:2434205, operation:WRITE
poiId:3025242, uid:2434205, operation:WRITE
poiId:2957602, uid:2434205, operation:WRITE
poiId:2754173, uid:2434205, operation:WRITE
poiId:2659073, uid:2434205, operation:WRITE
poiId:2535881, uid:2434205, operation:WRITE
poiId:2535881, uid:2434205, operation:WRITE
poiId:2482643, uid:2434205, operation:WRITE
poiId:2409690, uid:2434205, operation:WRITE
poiId:2400710, uid:2434205, operation:WRITE
poiId:2400560, uid:2434205, operation:WRITE
poiId:2375498, uid:2434205, operation:WRITE
poiId:2330389, uid:2434205, operation:WRITE
poiId:2330389, uid:2434205, operation:WRITE
poiId:2309175, uid:2434205, operation:WRITE
poiId:2295808, uid:2434205, operation:WRITE
poiId:2288021, uid:2434205, operation:WRITE
poiId:2165412, uid:2434205, operation:WRITE
poiId:2146817, uid:2434205, operation:WRITE
poiId:2142651, uid:2434205, operation:WRITE
poiId:2123364, uid:2434205, operation:WRITE
poiId:2024899, uid:2434205, operation:WRITE
poiId:1689212, uid:2434205, operation:WRITE
poiId:1482698, uid:2434205, operation:WRITE
poiId:1370487, uid:2434205, operation:WRITE
poiId:1323242, uid:2434205, operation:WRITE
poiId:1265846, uid:2434205, operation:WRITE
poiId:1236497, uid:2434205, operation:WRITE
poiId:1191588, uid:2434205, operation:WRITE
poiId:1179029, uid:2434205, operation:WRITE
poiId:1165002, uid:2434205, operation:WRITE
poiId:1143813, uid:2434205, operation:WRITE
poiId:1057478, uid:2434205, operation:WRITE
poiId:8565159, uid:2434205, operation:WRITE
poiId:8522261, uid:2434205, operation:WRITE
poiId:8516249, uid:2434205, operation:WRITE
poiId:8504905, uid:2434205, operation:WRITE
poiId:8497101, uid:2434205, operation:WRITE
poiId:8485363, uid:2434205, operation:WRITE
poiId:8452094, uid:2434205, operation:WRITE
poiId:8438410, uid:2434205, operation:WRITE
poiId:8436587, uid:2434205, operation:WRITE
poiId:8436258, uid:2434205, operation:WRITE
poiId:8417532, uid:2434205, operation:WRITE
poiId:8399784, uid:2434205, operation:WRITE
poiId:8393729, uid:2434205, operation:WRITE
poiId:8334708, uid:2434205, operation:WRITE
poiId:8330090, uid:2434205, operation:WRITE
poiId:8252971, uid:2434205, operation:WRITE
poiId:8211692, uid:2434205, operation:WRITE
poiId:8205746, uid:2434205, operation:WRITE
poiId:8148900, uid:2434205, operation:WRITE
poiId:8141425, uid:2434205, operation:WRITE
poiId:8132128, uid:2434205, operation:WRITE
poiId:8119598, uid:2434205, operation:WRITE
poiId:8052014, uid:2434205, operation:WRITE
poiId:8044837, uid:2434205, operation:WRITE
poiId:7979202, uid:2434205, operation:WRITE
poiId:7972278, uid:2434205, operation:WRITE
poiId:7972278, uid:2434205, operation:WRITE
poiId:7956069, uid:2434205, operation:WRITE
poiId:7947807, uid:2434205, operation:WRITE
poiId:7935169, uid:2434205, operation:WRITE
poiId:7916874, uid:2434205, operation:WRITE
poiId:7914795, uid:2434205, operation:WRITE
poiId:7812009, uid:2434205, operation:WRITE
poiId:7777938, uid:2434205, operation:WRITE
poiId:7711972, uid:2434205, operation:WRITE
poiId:7652439, uid:2434205, operation:WRITE
poiId:7638850, uid:2434205, operation:WRITE
poiId:7618449, uid:2434205, operation:WRITE
poiId:7604225, uid:2434205, operation:WRITE
poiId:7596412, uid:2434205, operation:WRITE
poiId:7576309, uid:2434205, operation:WRITE
poiId:7546607, uid:2434205, operation:WRITE
poiId:7462952, uid:2434205, operation:WRITE
poiId:7399711, uid:2434205, operation:WRITE
poiId:7360312, uid:2434205, operation:WRITE
poiId:7350367, uid:2434205, operation:WRITE
poiId:7343252, uid:2434205, operation:WRITE
poiId:7343252, uid:2434205, operation:WRITE
poiId:7161942, uid:2434205, operation:WRITE
poiId:7136491, uid:2434205, operation:WRITE
poiId:7135809, uid:2434205, operation:WRITE
poiId:7055067, uid:2434205, operation:WRITE
poiId:6998294, uid:2434205, operation:WRITE
poiId:6860268, uid:2434205, operation:WRITE
poiId:6839535, uid:2434205, operation:WRITE
poiId:6839535, uid:2434205, operation:WRITE
poiId:6762754, uid:2434205, operation:WRITE
poiId:6612379, uid:2434205, operation:WRITE
poiId:6612379, uid:2434205, operation:WRITE
poiId:6566702, uid:2434205, operation:WRITE
poiId:6529055, uid:2434205, operation:WRITE
poiId:6492003, uid:2434205, operation:WRITE
poiId:6291090, uid:2434205, operation:WRITE
oiId:6235429, uid:2434205, operation:WRITE
poiId:6154020, uid:2434205, operation:WRITE
poiId:6129062, uid:2434205, operation:WRITE
poiId:6020328, uid:2434205, operation:WRITE
poiId:6002580, uid:2434205, operation:WRITE
poiId:5992499, uid:2434205, operation:WRITE
poiId:5992499, uid:2434205, operation:WRI
poiId:5939553, uid:2434205, operation:WRITE
poiId:5925815, uid:2434205, operation:WRITE
poiId:5822089, uid:2434205, operation:WRITE
poiId:5548536, uid:2434205, operation:WRITE
poiId:5488579, uid:2434205, operation:WRITE
poiId:5479075, uid:2434205, operation:WRIT
poiId:5415511, uid:2434205, operation:WRITE
poiId:5366480, uid:2434205, operation:WRITE
poiId:5254758, uid:2434205, operation:WRITE
poiId:5091391, uid:2434205, operation:WRITE
poiId:4972385, uid:2434205, operation:WRITE
poiId:4948447, uid:2434205, operation:WRITE
poiId:4912073, uid:2434205, operation:WRITE
poiId:4751672, uid:2434205, operation:WRITE
poiId:4679259, uid:2434205, operation:WRITE
poiId:4544070, uid:2434205, operation:WRITE
poiId:4520278, uid:2434205, operation:WRITE
poiId:4418989, uid:2434205, operation:WRITE
poiId:4300010, uid:2434205, operation:WRITE
poiId:4235164, uid:2434205, operation:WRITE
poiId:4134825, uid:2434205, operation:WRITE
poiId:4095214, uid:2434205, operation:WRITE
poiId:4012840, uid:2434205, operation:WRITE
poiId:3941241, uid:2434205, operation:WRITE
poiId:3941241, uid:2434205, operation:WRITE
poiId:3922107, uid:2434205, operation:WRITE
poiId:3913553, uid:2434205, operation:WRITE
poiId:3835678, uid:2434205, operation:WRITE
poiId:3630580, uid:2434205, operation:WRITE
poiId:3628085, uid:2434205, operation:WRITE
poiId:3392292, uid:2434205, operation:WRITE
poiId:3371791, uid:2434205, operation:WRITE
poiId:3115619, uid:2434205, operation:WRITE
poiId:3111130, uid:2434205, operation:WRITE
poiId:3073200, uid:2434205, operation:WRITE
poiId:3010169, uid:2434205, operation:WRITE
poiId:2915149, uid:2434205, operation:WRITE
poiId:2915149, uid:2434205, operation:WRITE
poiId:2904590, uid:2434205, operation:WRITE
poiId:2774836, uid:2434205, operation:WRITE
poiId:2762680, uid:2434205, operation:WRITE
poiId:2754173, uid:2434205, operation:WRITE
poiId:2749162, uid:2434205, operation:WRITE
poiId:2749162, uid:2434205, operation:WRITE
poiId:2710886, uid:2434205, operation:WRITE
poiId:2565890, uid:2434205, operation:WRITE
poiId:2400560, uid:2434205, operation:WRITE
poiId:2398348, uid:2434205, operation:WRITE
poiId:2323497, uid:2434205, operation:WRITE
poiId:2142651, uid:2434205, operation:WRITE
poiId:1885060, uid:2434205, operation:WRITE
poiId:1862654, uid:2434205, operation:WRITE
poiId:1676121, uid:2434205, operation:WRITE
poiId:1482459, uid:2434205, operation:WRITE
poiId:1455087, uid:2434205, operation:WRITE
poiId:1453827, uid:2434205, operation:WRITE
poiId:1438106, uid:2434205, operation:WRITE
poiId:1425819, uid:2434205, operation:WRITE
poiId:1324880, uid:2434205, operation:WRITE
poiId:1267768, uid:2434205, operation:WRITE
poiId:1266576, uid:2434205, operation:WRITE
poiId:1242010, uid:2434205, operation:WRITE
poiId:1242010, uid:2434205, operation:WRITE
poiId:1229092, uid:2434205, operation:WRITE
poiId:1225883, uid:2434205, operation:WRITE
poiId:1167421, uid:2434205, operation:WRITE
poiId:1138874, uid:2434205, operation:WRITE
poiId:1105892, uid:2434205, operation:WRITE
poiId:1071529, uid:2434205, operation:WRITE
poiId:1003674, uid:2434205, operation:WRITE
poiId:952890, uid:2434205, operation:WRITE 
poiId:641621, uid:2434205, operation:WRITE 
poiId:641620, uid:2434205, operation:WRITE
poiId:4316458, uid:2434205, operation:WRITE
poiId:4316458, uid:2434205, operation:WRITE
poiId:4316458, uid:2434205, operation:WRITE
poiId:8577796, uid:2434205, operation:WRITE
poiId:8535602, uid:2434205, operation:WRITE
poiId:8535602, uid:2434205, operation:WRITE
poiId:8535602, uid:2434205, operation:WRITE
poiId:8514705, uid:2434205, operation:WRITE
poiId:8492706, uid:2434205, operation:WRITE
poiId:8491193, uid:2434205, operation:WRITE
poiId:8490778, uid:2434205, operation:WRITE
poiId:8458357, uid:2434205, operation:WRITE
poiId:8417264, uid:2434205, operation:WRITE
poiId:8404954, uid:2434205, operation:WRITE
poiId:8397076, uid:2434205, operation:WRITE
poiId:8393729, uid:2434205, operation:WRITE
poiId:8391694, uid:2434205, operation:WRITE
poiId:8358441, uid:2434205, operation:WRIT
poiId:8303811, uid:2434205, operation:WRITE
poiId:8259231, uid:2434205, operation:WRITE
poiId:8258324, uid:2434205, operation:WRITE
poiId:8252905, uid:2434205, operation:WRITE
poiId:8238308, uid:2434205, operation:WRITE
poiId:8227062, uid:2434205, operation:WRITE
poiId:8111414, uid:2434205, operation:WRITE
poiId:8087125, uid:2434205, operation:WRITE
poiId:8082993, uid:2434205, operation:WRITE
poiId:8066338, uid:2434205, operation:WRITE
poiId:8052014, uid:2434205, operation:WRITE
poiId:8012275, uid:2434205, operation:WRITE
poiId:8007149, uid:2434205, operation:WRITE
poiId:7973714, uid:2434205, operation:WRITE
poiId:7956880, uid:2434205, operation:WRITE
poiId:7956069, uid:2434205, operation:WRITE
poiId:7863724, uid:2434205, operation:WRITE
poiId:7768339, uid:2434205, operation:WRITE
poiId:7766453, uid:2434205, operation:WRITE
poiId:7684185, uid:2434205, operation:WRITE
poiId:7652439, uid:2434205, operation:WRITE
poiId:7619891, uid:2434205, operation:WRITE
poiId:7618449, uid:2434205, operation:WRITE
poiId:7614468, uid:2434205, operation:WRITE
poiId:7553229, uid:2434205, operation:WRITE
poiId:7501541, uid:2434205, operation:WRITE
poiId:7429713, uid:2434205, operation:WRITE
poiId:7350367, uid:2434205, operation:WRITE
poiId:7349878, uid:2434205, operation:WRITE
poiId:7349535, uid:2434205, operation:WRITE
poiId:7337583, uid:2434205, operation:WRITE
poiId:7290106, uid:2434205, operation:WRITE
poiId:7168825, uid:2434205, operation:WRITE
poiId:7129019, uid:2434205, operation:WRITE
poiId:7129019, uid:2434205, operation:WRITE
poiId:7025276, uid:2434205, operation:WRITE
poiId:6943060, uid:2434205, operation:WRITE
poiId:6754489, uid:2434205, operation:WRITE
poiId:6613002, uid:2434205, operation:WRITE
poiId:6595459, uid:2434205, operation:WRITE
poiId:6595459, uid:2434205, operation:WRITE
poiId:6473564, uid:2434205, operation:WRITE
poiId:6456571, uid:2434205, operation:WRITE
poiId:6232098, uid:2434205, operation:WRITE
poiId:6057948, uid:2434205, operation:WRITE
poiId:6056179, uid:2434205, operation:WRITE
poiId:5971660, uid:2434205, operation:WRITE
poiId:5939553, uid:2434205, operation:WRITE
poiId:5935053, uid:2434205, operation:WRITE
poiId:5935053, uid:2434205, operation:WRITE
poiId:5877444, uid:2434205, operation:WRITE
poiId:5791532, uid:2434205, operation:WRITE
poiId:5733850, uid:2434205, operation:WRITE
poiId:5623607, uid:2434205, operation:WRITE
poiId:5585689, uid:2434205, operation:WRITE
poiId:5581270, uid:2434205, operation:WRITE
poiId:5577561, uid:2434205, operation:WRITE
poiId:5554800, uid:2434205, operation:WRITE
poiId:5528316, uid:2434205, operation:WRITE
poiId:5254758, uid:2434205, operation:WRITE
poiId:5090362, uid:2434205, operation:WRITE
poiId:5043206, uid:2434205, operation:WRITE
poiId:4837849, uid:2434205, operation:WRITE
poiId:4691393, uid:2434205, operation:WRITE
poiId:4608446, uid:2434205, operation:WRITE
poiId:4393895, uid:2434205, operation:WRITE
poiId:4316458, uid:2434205, operation:WRITE
poiId:4238924, uid:2434205, operation:WRITE
poiId:4120496, uid:2434205, operation:WRITE
poiId:4012840, uid:2434205, operation:WRITE
poiId:3814419, uid:2434205, operation:WRITE
poiId:3571887, uid:2434205, operation:WRITE
poiId:3417602, uid:2434205, operation:WRITE
poiId:3367560, uid:2434205, operation:WRITE
poiId:3310037, uid:2434205, operation:WRITE
poiId:3149309, uid:2434205, operation:WRITE
poiId:2905076, uid:2434205, operation:WRITE
poiId:2764962, uid:2434205, operation:WRITE
poiId:2760561, uid:2434205, operation:WRITE
poiId:2662893, uid:2434205, operation:WRITE
poiId:2398748, uid:2434205, operation:WRITE
poiId:2366982, uid:2434205, operation:WRITE
poiId:2279544, uid:2434205, operation:WRITE
poiId:2123364, uid:2434205, operation:WRITE
poiId:2102405, uid:2434205, operation:WRITE
poiId:2073853, uid:2434205, operation:WRITE
poiId:2002307, uid:2434205, operation:WRITE
poiId:1915159, uid:2434205, operation:WRITE
poiId:1885060, uid:2434205, operation:WRITE
poiId:1826791, uid:2434205, operation:WRITE
poiId:1809707, uid:2434205, operation:WRITE
poiId:1689212, uid:2434205, operation:WRITE
poiId:1620660, uid:2434205, operation:WRITE
poiId:1395522, uid:2434205, operation:WRITE
poiId:1357162, uid:2434205, operation:WRITE
poiId:1267679, uid:2434205, operation:WRITE
poiId:1229092, uid:2434205, operation:WRITE
poiId:1228926, uid:2434205, operation:WRIT
poiId:1162286, uid:2434205, operation:WRITE
poiId:1138874, uid:2434205, operation:WRITE
poiId:1020969, uid:2434205, operation:WRITE
poiId:954333, uid:2434205, operation:WRITE 
poiId:943780, uid:2434205, operation:WRITE
poiId:943780, uid:2434205, operation:WRITE 
poiId:943621, uid:2434205, operation:WRITE
poiId:8651253, uid:2609114, operation:WRITE
poiId:8565159, uid:2434205, operation:WRITE
poiId:8535604, uid:2434205, operation:WRITE
poiId:8518978, uid:2434205, operation:WRITE
poiId:8518026, uid:2434205, operation:WRITE
poiId:8514420, uid:2434205, operation:WRITE
poiId:8506024, uid:2434205, operation:WRITE
poiId:8506024, uid:2434205, operation:WRITE
poiId:8501675, uid:2434205, operation:WRITE
poiId:8492706, uid:2434205, operation:WRITE
poiId:8490778, uid:2434205, operation:WRITE
poiId:8468239, uid:2434205, operation:WRITE
poiId:8458357, uid:2434205, operation:WRITE
poiId:8435583, uid:2434205, operation:WRITE
poiId:8423156, uid:2434205, operation:WRITE
poiId:8397076, uid:2434205, operation:WRITE
poiId:8358702, uid:2434205, operation:WRITE
poiId:8351909, uid:2434205, operation:WRITE
poiId:8344166, uid:2434205, operation:WRITE
poiId:8334708, uid:2434205, operation:WRITE
poiId:8313190, uid:2434205, operation:WRITE
poiId:8279479, uid:2434205, operation:WRITE
poiId:8277999, uid:2434205, operation:WRITE
poiId:8263249, uid:2434205, operation:WRITE
poiId:8252971, uid:2434205, operation:WRIT
poiId:8158524, uid:2434205, operation:WRITE
poiId:8143454, uid:2434205, operation:WRITE
poiId:8124913, uid:2434205, operation:WRITE
poiId:8118841, uid:2434205, operation:WRITE
poiId:8095727, uid:2434205, operation:WRITE
poiId:8073731, uid:2434205, operation:WRITE
poiId:8063994, uid:2434205, operation:WRITE
poiId:8063928, uid:2434205, operation:WRITE
poiId:8017181, uid:2434205, operation:WRITE
poiId:8012275, uid:2434205, operation:WRITE
poiId:8006793, uid:2434205, operation:WRITE
poiId:7988232, uid:2434205, operation:WRITE
poiId:7979656, uid:2434205, operation:WRITE
poiId:7964429, uid:2434205, operation:WRITE
poiId:7959734, uid:2434205, operation:WRITE
poiId:7957368, uid:2434205, operation:WRITE
poiId:7948419, uid:2434205, operation:WRITE
poiId:7935568, uid:2434205, operation:WRITE
poiId:7891198, uid:2434205, operation:WRITE
poiId:7864054, uid:2434205, operation:WRITE
poiId:7863720, uid:2434205, operation:WRITE
poiId:7812009, uid:2434205, operation:WRITE
poiId:7811974, uid:2434205, operation:WRITE
poiId:7807203, uid:2434205, operation:WRITE
poiId:7807203, uid:2434205, operation:WRITE
poiId:7795806, uid:2434205, operation:WRITE
poiId:7774131, uid:2434205, operation:WRITE
poiId:7771975, uid:2434205, operation:WRITE
poiId:7771896, uid:2434205, operation:WRITE
poiId:7722956, uid:2434205, operation:WRITE
poiId:7619891, uid:2434205, operation:WRITE
